Id,Index,Encoder,Position,Lab UPT,AmpL,AmpR,SnrL,SnrR,NoiL,NoiR,avgUPT,UPTCnt,IdxL,IdxR,UptL,UptR,UPT-Total,VelL,VelR,SkewL,SkewT,GLenL,GLenR,FreqL,FreqR,ZFAvgL,ZFAvgR,ZStdL,ZStdR,FFreqL,FFreqR,FZFAvgL,FZFAvgR,FZStdL,FZStdR
296193,91,1933891736,26.8661,,1.95314,1.26669,18.4015,8.31653,0.10614,0.15231,444.92,165,744,724,212.571,206.857,419.429,5355.57,5549.18,0.272988,0.181993,44.8205,45.1925,0,0,0,0,0,0,0,0,0,0,0,0
296193,92,1933891750,27.2527,,2.00432,0.9476,20.5192,25.3369,0.09768,0.0374,444.92,165,724,727,206.857,207.714,414.571,5580.37,5514.66,0.272988,0.181993,45.4465,45.0974,0,0,0,0,0,0,0,0,0,0,0,0
296193,93,1933891760,27.5288,,1.94957,0.99276,25.133,17.4905,0.07757,0.05676,444.92,165,745,719,212.857,205.429,418.286,5344.81,5607.7,0.272988,0.181993,44.7906,45.3536,0,0,0,0,0,0,0,0,0,0,0,0
296193,94,1933891771,27.8325,,1.64348,1.51958,22.3542,25.5049,0.07352,0.05958,444.92,165,740,727,211.429,207.714,419.143,5399.07,5514.66,0.272988,0.181993,44.9417,45.0974,0,0,0,0,0,0,0,0,0,0,0,0
296193,95,1933891781,28.1087,,1.75129,1.65434,17.2899,23.4127,0.10129,0.07066,444.92,165,743,722,212.286,206.286,418.571,5366.38,5572.44,0.272988,0.181993,44.8506,45.2565,0,0,0,0,0,0,0,0,0,0,0,0
296193,96,1933891795,28.4952,,1.95062,1.47385,17.3574,18.9319,0.11238,0.07785,444.92,165,0,723,0,206.571,206.571,0,5560.79,0.272988,0.181993,0,45.2244,0,0,0,0,0,0,0,0,0,0,0,0
296193,97,1933891808,28.8542,,2.03655,1.00136,36.6616,15.3207,0.05555,0.06536,444.92,165,714,670,204,191.429,395.429,0,0,0.272988,0.181993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,98,1933891818,29.1303,,1.81723,0.49536,17.02,8.59403,0.10677,0.05764,444.92,165,729,705,208.286,201.429,409.714,5522.42,5778.31,0.272988,0.181993,45.2851,45.8235,0,0,0,0,0,0,0,0,0,0,0,0
296193,99,1933891825,29.3236,,1.5542,0.88521,12.6564,6.1812,0.1228,0.14321,444.92,165,722,688,206.286,196.571,402.857,0,0,0.272988,0.181993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,100,1933891836,29.6273,,1.30467,0.81068,17.0925,22.1014,0.07633,0.03668,444.92,165,0,704,0,201.143,201.143,0,0,0.272988,0.181993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296193,101,1933891845,29.8758,,1.95587,0.90657,29.1356,10.9794,0.06713,0.08257,444.92,165,852,701,243.429,200.286,443.714,4398.7,5828.98,0.272988,0.181993,42.1563,45.963,0,0,0,0,0,0,0,0,0,0,0,0
296193,102,1933891851,30.0415,,2.06364,0.88036,23.8186,22.3669,0.08664,0.03936,444.92,165,729,703,208.286,200.857,409.143,5522.42,5803.53,0.272988,0.181993,45.2851,45.8929,0,0,0,0,0,0,0,0,0,0,0,0
296193,103,1933891863,30.3728,,2.04647,1.0577,25.7515,13.0098,0.07947,0.0813,444.92,165,723,713,206.571,203.714,410.286,5592.11,5679.57,0.272988,0.181993,45.4791,45.5515,0,0,0,0,0,0,0,0,0,0,0,0
296193,104,1933891874,30.6765,,2.08729,0.91778,18.2631,26.82,0.11429,0.03422,444.92,165,726,707,207.429,202,409.429,5557.05,5753.3,0.272988,0.181993,45.3815,45.7546,0,0,0,0,0,0,0,0,0,0,0,0
296193,105,1933891885,30.9803,,2.01071,0.82896,23.0348,7.39879,0.08729,0.11204,444.92,165,725,714,207.143,204,411.143,5568.68,5667.46,0.272988,0.181993,45.4139,45.5182,0,0,0,0,0,0,0,0,0,0,0,0
296193,106,1933891898,31.3392,,1.05775,0.69353,13.2633,10.1201,0.07975,0.06853,444.92,165,748,722,213.714,206.286,420,5312.77,5572.44,0.272988,0.181993,44.7014,45.2565,0,0,0,0,0,0,0,0,0,0,0,0
296193,107,1933891906,31.5601,,1.17025,0.99724,11.5012,18.3857,0.10175,0.05424,444.92,165,0,860,0,245.714,245.714,0,4322.38,0.272988,0.181993,0,41.8138,0,0,0,0,0,0,0,0,0,0,0,0
296193,108,1933891912,31.7258,,1.59654,1.27483,35.1197,27.0263,0.04546,0.04717,444.92,165,0,0,0,0,0,0,0,0.272988,0.181993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
